date,height,yield
1960.166667,105,65
1960.333333,0,10
1961,50,3
1961.333333,50,0.5
1964.166667,-353,3.7
1965.166667,-785,127
1966.166667,-403,13
1966.583333,10,28
1966.583333,1000,50
1966.583333,12,0
1966.75,470,110
1966.75,3,125
1966.833333,10,205
1967.5,295,15
1967.5,340,120
1967.583333,3,22
1968.583333,463,115
1968.583333,650,450
1968.666667,490,150
1968.666667,520,2600
1968.75,700,1280
1970.416667,220,13
1970.416667,500,224
1970.416667,500,945
1970.5,220,12
1970.583333,500,914
1970.583333,220,0.05
1970.666667,400,72
1970.666667,500,594
1971.5,275,34
1971.5,450,440
1971.583333,230,9
1971.666667,230,4
1971.666667,480,955
1972.5,230,0.5
1972.5,220,4
1972.583333,220,6
1972.583333,10,0.001
1973.583333,220,11
1973.583333,270,0.05
1973.666667,270,4
1973.666667,220,0.2
1973.666667,250,6.6
1973.75,4.1,0
1974.5,220,4
1974.583333,5.6,0
1974.583333,312,150
1974.583333,270,4
1974.583333,250,8
1974.583333,5.6,0.001
1974.666667,312,96
1974.666667,270,14
1974.75,433,332
1975.5,-623,5
1975.916667,-585,5
1976.333333,-600,1
1976.583333,-280,0
1977.5,-280,0
1977.583333,-280,0
1978.916667,-280,0
1980.583333,-280,0
1982.25,-280,0
1985.833333,-700,2
1989.916667,-280,0
