date,height,yield
1962.916667,96300,400
1958.666667,76800,3800
1962.833333,48200,400
1958.666667,43000,3800
1958.333333,26210,1.7
1962.916667,21000,
1955.333333,11160,3
1957.583333,9140,2
1962.5,4570,2.2
1962.583333,4370,3880
1962.5,4160,1200
1962.833333,3700,8300
1962.833333,3650,1590
1962.5,3600,7650
1962.833333,3590,800
1962.416667,3350,600
1962.833333,3130,75
1962.833333,3050,11.3
1962.5,2775,800
1962.5,2771,52
1962.416667,2752,2.6
1962.5,2746,81.5
1962.5,2702,782
1962.5,2537,3000
1962.416667,2176,43
1962.5,2125,210
1962.416667,2105,73
1953.333333,1830,11
1962.416667,1679,500
1962.416667,1594,670
1962.416667,1533,1090
1962.5,1518,1270
1962.583333,1500,1000
1976.083333,1452.4,800
1956.416667,1320,3800
1976.25,1273.4,800
1952.333333,1050,31
1967.416667,977.39,155
1962.416667,913,50
1962.416667,896,97
1962.333333,884,190
1976.25,881.18,500
1962.416667,878,100
1976.25,856.79,350
1975.916667,818.33,500
1962.333333,796,410
1976.25,782.42,210
1975.416667,765.05,380
1965.25,749.59,51
1962.416667,747,100
1967.416667,746.46,250
1953.416667,740,27
1967.166667,731.52,200
1975.5,731.52,200
1968.666667,728.88,200
1975.166667,713.37,160
1977.666667,701.04,120
1977.916667,700.74,150
1965.416667,695.55,
1977.333333,689.73,140
1973,688.85,
1968.5,683.28,200
1966,681.53,120
1978.333333,671.78,100
1966.166667,671.69,19
1966.416667,670.77,200
1968.25,667.76,120
1967.916667,667.12,20
1966.416667,666.75,73
1971,661.42,220
1974.666667,655.32,160
1974.166667,640.77,150
1978.25,640.29,120
1979.75,640.02,140
1978.75,639.78,150
1982.666667,639.78,138
1988.833333,639.78,150
1976.166667,639.62,150
1977,638.56,89
1987.666667,638.56,150
1974.583333,638.52,150
1985.333333,638.25,150
1975.5,637.18,140
1976.583333,636.57,58
1967.416667,630.63,76
1969.833333,624.84,200
1969.833333,624.84,110
1987.75,614.17,150
1985.5,608.08,100
1968.5,607.02,58
1986.833333,605.03,140
1975.25,600.46,89
1984.416667,599.85,120
1969.416667,598.75,90
1977.333333,594.36,67
1986.916667,593.14,120
1968.75,581.99,120
1945.666667,580,15
1974.75,573.02,100
1973.25,568.39,67
1973.5,567.02,S    58
1978.583333,564.88,99
1977.416667,564.18,51
1973.333333,563.88,90
1981.083333,563.88,99
1989.833333,562.94,150
1966.083333,561.48,38
1966.333333,561.44,
1966.75,561.15,
1966.5,560.68,160
1970.833333,560.62,89
1969.333333,560.47,38
1970.25,560.44,89
1972.75,560.21,160
1967.083333,559.72,41
1969.333333,557.73,51
1970.166667,554.46,120
1970,550.67,89
1966.416667,548.72,120
1969.583333,548.64,120
1963.833333,548.03,60
1966.333333,544.25,70
1972.416667,537.35,12
1965.25,536.75,38
1965.583333,530.96,67
1977.75,530.35,20
1971.583333,528.83,83
1971.666667,527.61,67
1971.5,518.77,38
1969.083333,518.16,40
1977.666667,517.55,44
1969.416667,514.72,22
1964.333333,506.88,38
1989.166667,504.02,67
1945.666667,503,21
1966,500.41,51
1967.416667,499.63,22
1962.833333,493.78,115
1968.333333,493.47,20
1964.166667,492.56,70
1964.083333,490.42,38
1966.5,485.55,
1971,484.83,45
1967.583333,483.72,22
1984.75,483.11,33
1970.416667,482.72,29
1968.416667,472.65,20
1968.75,467.87,31
1967.666667,467.41,
1973.5,466.34,24
1969.25,464.82,26
1966.5,462.69,62
1970,461.77,38
1957.583333,460,74
1957.666667,460,19
1957.666667,460,11
1957.75,460,12
1957.75,460,12
1958.75,460,2
1958.833333,460,1.4
1958.833333,460,6
1958.833333,460,0.115
1958.833333,460,4.9
1958.833333,460,2.2
1958.833333,460,1.3
1978.25,457.81,
1966.5,455.25,200
1971.5,454.92,20
1969.083333,454.06,20
1973.333333,452.63,S     9
1964.833333,452.38,12
1952.916667,450,500
1977.666667,449.58,0.2
1964.666667,447.66,18
1965.333333,446.87,7
1964.5,445.71,0.15
1968.083333,443.48,50
1970.166667,441.96,25
1978.75,441.59,25
1951.166667,440,22
1968.916667,439.52,3
1967.666667,435.86,20
1962.416667,434.04,40
1974.666667,430.08,5
1951.916667,430,21
1975.75,427.21,7
1965.416667,427.02,12
1977,426.72,20
1971.5,423.67,20
1970.416667,422.45,9
1970,419.15,20
1973.833333,415.66,8
1964,414.35,
1962.583333,413.31,20
1971.666667,411.48,
1975.333333,411.48,20
1969.583333,410.26,20
1968.166667,410.06,20
1953.5,410,61
1962.5,408.56,67
1970.166667,408.51,51
1982.75,407.26,
1966.25,405.38,2
1974.833333,404.47,
1964.833333,403.86,38
1964.916667,402.95,12
1969,402.08,1150
1961.75,402.03,2.6
1970.166667,402.02,12
1951.916667,400,31
1966.25,397.09,3
1979.666667,396.54,20
1970.416667,396.24,20
1976.416667,396.24,20
1963.416667,394.72,20
1970.916667,393.46,20
1973.5,391.36,18
1970.416667,390.21,1
1970.416667,390.14,45
1964.583333,389.26,20
1970.166667,388.62,70
1974.5,387.65,20
1977.916667,384.99,10
1975.333333,383.01,20
1968.333333,381.81,20
1974,381.42,0.3
1964.833333,380.73,
1984.5,379.78,20
1977.75,379.48,6
1971.75,378.68,4
1974.5,378.06,4
1970,378.05,16
1971.833333,377.95,7
1969.916667,377.84,20
1972.416667,376.08,19
1974.583333,373.68,
1977.916667,370.09,10
1982.916667,366.06,5
1980.583333,365.76,3.5
1984.666667,365.15,20
1979.25,364.85,5
1967.083333,363.78,39
1962,363.72,13.4
1964.666667,363.66,
1962.083333,363.14,10
1962,362.99,20
1968.916667,362.94,8
1969.166667,359.66,15
1968.5,358.65,
1984.833333,350.22,2.5
1951.833333,350,14
1989.416667,345.22,5
1968.75,344.42,20
1951.166667,340,8
1951.833333,340,3.5
1952.333333,340,1
1966.416667,337.06,22
1964.166667,333.71,
1966.083333,333.05,7
1966.25,332.79,7
1968,332.43,2
1972.5,332.31,
1967.666667,332.02,18
1972,331.99,5
1969.666667,331.83,
1985.666667,331.62,8
1972,331.01,24
1971.75,330.71,
1971.916667,330.71,10
1951.083333,330,8
1951.166667,330,1
1963.75,329.55,0.08
1975.833333,327.96,15
1972.333333,326.44,8
1979.083333,326.44,6
1973.25,326.14,0.2
1975.916667,326.14,5
1975.916667,326.11,5
1963.166667,325.69,
1972.416667,322.78,8
1966.5,322.11,25
1974.833333,321.05,
1980.5,320.04,6
1951.083333,320,1
1952.416667,320,19
1962.833333,319.43,5
1987.5,319.13,8
1975.166667,318.35,
1974.75,313.96,5
1974.416667,313.94,2.5
1975.5,310.64,750
1967.5,310.24,10
1970.5,309.37,3.5
1968.916667,307.94,16
1966.416667,304.97,12
1975,304.72,4
1978.5,304.22,0.6
1969.25,304.13,10
1970.083333,304.11,20
1971.5,303.06,18
1963.166667,302.97,6
1962.083333,302.33,5.1
1963.666667,302.27,8
1971,302.19,
1972,302.03,11
1972.166667,301.78,2
1967.5,301.75,3.1
1968.833333,301.44,3
1970.25,301.39,6
1967.833333,301.34,9
1963.25,301.16,
1963.916667,300.84,20
1964.166667,300.76,5
1967.166667,299.11,4
1965.166667,296.14,10.1
1966.333333,295.66,5
1972.75,295.66,15
1965.416667,294.28,0.75
1971,292.91,20
1988.916667,289.86,
1970.25,289.56,8.7
1962.166667,287.43,5.7
1973.916667,285.29,5
1958.833333,283.58,5
1965.416667,281.07,15
1972.25,279.04,8
1974,278.17,5
1971,277.98,10
1966.083333,275.01,4
1977.666667,274.93,1.5
1970.333333,274.32,20
1963.416667,271.73,8
