time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-12-13T16:40:25.780Z,38.8143349,-122.8099976,1.28,0.32,md,10,95,0.009047,0.02,nc,nc73314331,2019-12-13T16:57:04.520Z,"6km NW of The Geysers, CA",earthquake,0.36,0.62,0.23,2,automatic,nc,nc
2019-12-13T16:27:36.170Z,35.6766667,-117.5093333,8.77,0.94,ml,14,131,0.07308,0.19,ci,ci39229664,2019-12-13T16:31:16.972Z,"14km SW of Searles Valley, CA",earthquake,0.53,1.06,0.1,9,automatic,ci,ci
2019-12-13T16:27:16.750Z,35.6993333,-117.5595,2.12,0.61,ml,16,124,0.07752,0.16,ci,ci39229656,2019-12-13T16:33:16.678Z,"14km NE of Ridgecrest, CA",earthquake,0.27,0.39,0.157,7,reviewed,ci,ci
2019-12-13T16:15:09.840Z,38.8058319,-122.7819977,1.76,0.55,md,7,85,0.01061,0.01,nc,nc73314326,2019-12-13T16:32:03.389Z,"4km NW of The Geysers, CA",earthquake,0.51,1.14,,1,automatic,nc,nc
2019-12-13T16:04:19.380Z,38.8018341,-122.7720032,1.65,1.05,md,14,76,0.01514,0.03,nc,nc73314321,2019-12-13T16:20:04.321Z,"3km NNW of The Geysers, CA",earthquake,0.27,0.55,0.07,3,automatic,nc,nc
2019-12-13T15:41:13.390Z,35.94,-117.4826667,0.14,1.96,ml,25,65,0.09669,0.21,ci,ci39229600,2019-12-13T15:45:06.011Z,"20km NNW of Searles Valley, CA",earthquake,0.32,31.61,0.121,26,automatic,ci,ci
2019-12-13T15:33:03.899Z,36.42783333,-96.9325,3.91,1.1,ml,27,102,0.02609487929,0.14,ok,ok2019yjiv,2019-12-13T16:23:28.102Z,"15km NW of Pawnee, Oklahoma",earthquake,,0.4,0.14,6,reviewed,ok,ok
2019-12-13T15:27:49.227Z,64.927,-145.8915,5.3,1.6,ml,,,,1.01,ak,ak019fy4ktl9,2019-12-13T15:32:38.810Z,"62km ENE of Eielson Air Force Base, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-12-13T15:25:55.390Z,19.1608334,-155.4726715,32.45,1.99,md,45,163,0.09056,0.11,hv,hv71277556,2019-12-13T15:29:11.220Z,"4km S of Pahala, Hawaii",earthquake,0.57,0.73,0.16,9,automatic,hv,hv
2019-12-13T15:23:22.290Z,35.7021667,-117.5628333,2.03,2.28,ml,24,66,0.08012,0.17,ci,ci39229560,2019-12-13T15:27:07.420Z,"14km NE of Ridgecrest, CA",earthquake,0.26,0.43,0.167,25,automatic,ci,ci
2019-12-13T15:17:09.120Z,35.8676667,-117.6898333,5.44,1.24,ml,14,80,0.08484,0.16,ci,ci39229552,2019-12-13T15:20:42.870Z,"21km ESE of Little Lake, CA",earthquake,0.34,0.95,0.251,15,automatic,ci,ci
2019-12-13T15:14:43.090Z,38.7970009,-122.7363358,0.95,0.84,md,6,115,0.01625,0.01,nc,nc73314301,2019-12-13T15:30:04.351Z,"3km NE of The Geysers, CA",earthquake,0.44,0.81,0.08,2,automatic,nc,nc
2019-12-13T15:10:54.410Z,36.0855,-117.8708333,2.72,0.75,ml,9,224,0.0792,0.09,ci,ci39229544,2019-12-13T16:19:04.185Z,"8km ENE of Coso Junction, CA",earthquake,0.43,1.91,0.23,4,reviewed,ci,ci
2019-12-13T15:06:44.900Z,35.86,-117.6495,8.02,0.03,ml,5,109,0.06112,0.09,ci,ci39229536,2019-12-13T16:27:09.214Z,"24km WNW of Searles Valley, CA",earthquake,0.35,0.68,0.037,2,reviewed,ci,ci
2019-12-13T14:53:29.180Z,19.1609993,-155.4671631,32.9,1.72,md,29,254,0.09197,0.12,hv,hv71277526,2019-12-13T14:56:35.980Z,"5km SSE of Pahala, Hawaii",earthquake,0.85,1.26,0.05,3,automatic,hv,hv
2019-12-13T14:32:17.730Z,19.1534996,-155.4714966,34.01,2.2,md,41,167,0.09789,0.11,hv,hv71277511,2019-12-13T14:35:35.940Z,"5km S of Pahala, Hawaii",earthquake,0.65,1.33,0.22,5,automatic,hv,hv
2019-12-13T14:29:58.500Z,19.4588337,-155.6056671,-1.39,2,ml,10,96,0.007498,0.15,hv,hv71277506,2019-12-13T14:35:40.980Z,"27km E of Honaunau-Napoopoo, Hawaii",earthquake,0.53,0.37,3.94,3,automatic,hv,hv
2019-12-13T14:21:49.880Z,33.4798333,-116.8053333,4.04,1.4,ml,48,32,0.03272,0.2,ci,ci39229512,2019-12-13T14:32:59.490Z,"7km NE of Aguanga, CA",earthquake,0.2,0.52,0.143,26,reviewed,ci,ci
2019-12-13T14:21:00.660Z,36.43816667,-96.89633333,3.26,0.72,ml,18,107,0.03599293696,0.08,ok,ok2019yjgl,2019-12-13T14:49:38.438Z,"13km NW of Pawnee, Oklahoma",earthquake,,0.6,0.18,8,reviewed,ok,ok
2019-12-13T14:17:10.310Z,19.1896667,-155.4369965,33.38,2.34,md,43,150,0.04153,0.11,hv,hv71277496,2019-12-13T14:20:19.870Z,"4km ESE of Pahala, Hawaii",earthquake,0.56,0.58,0.29,5,automatic,hv,hv
2019-12-13T14:16:24.060Z,36.054,-117.8048333,1.15,0.85,ml,14,161,0.04306,0.13,ci,ci39229504,2019-12-13T16:23:06.479Z,"13km E of Coso Junction, CA",earthquake,0.34,0.23,0.133,9,reviewed,ci,ci
