date,magHigh,magLow,depthHigh,depthLow,magAv,depthAv
21-Oct,6.4,-0.92,630.86,-2.13,1.505848671,19.13345603
22-Oct,5.7,-0.97,220.16,-2.32,1.460513274,14.54665487
23-Oct,6.3,-0.62,559.77,-2.2,1.576833773,19.33952507
24-Oct,5.7,-0.79,621.31,-2,1.469544365,20.38884892
25-Oct,4.9,-0.52,547.74,-2,1.387609254,14.8329563
26-Oct,5.8,-0.62,603.63,-2.97,1.434615385,16.66749507
27-Oct,5.2,-0.74,613.87,-1.08,1.59611236,21.06208989
28-Oct,5.24,-0.77,543.65,-2.62,1.70246875,26.2013125
29-Oct,6.6,-0.87,551.49,-2.29,1.590991379,17.70439655
30-Oct,5.4,-1.25,408.48,-3.2,1.58672209,24.62320665
31-Oct,6.5,-0.55,618.73,-2.25,1.502090395,19.41853107
1-Nov,5.4,-0.93,634.37,-2.1,1.445336788,19.28608808
2-Nov,6.1,-1.14,304.67,-3,1.395776256,20.57607306
3-Nov,5.6,-1.05,623.27,-3.16,1.519877451,27.10539216
4-Nov,6.6,-0.67,410.06,-3.4,1.5143125,17.36228125
5-Nov,6.3,-0.55,502.67,-3.31,1.454061625,19.40190476
6-Nov,6,-0.87,591.33,-2.15,1.469696203,18.57686076
7-Nov,5.9,-0.99,174.59,-10,1.431783439,16.13469214
8-Nov,6.5,-1.36,582.92,-2.01,1.464027778,18.43141204
9-Nov,5.6,-0.73,257.16,-1.84,1.403421053,18.03388889
10-Nov,5.2,-0.84,544.91,-1.95,1.347813853,17.89056277
11-Nov,6.1,-1.23,414.96,-2.18,1.534212219,18.70684887
12-Nov,5.1,-0.83,368.89,-2,1.44632613,15.57687623
13-Nov,5.5,-0.77,585.2,-1.51,1.436535211,17.33890141
14-Nov,7.1,-0.91,599.01,-3.17,1.506902439,19.70570732
15-Nov,5.9,-1,178.8,-3,1.446763006,17.47375723
16-Nov,5.8,-1.17,233.92,-2.2,1.481313433,16.69179104
17-Nov,5.8,-0.81,493.61,-2.74,1.587751678,18.46855705
18-Nov,5.9,-0.93,194.52,-3.19,1.26516129,12.33276882
19-Nov,5.8,-0.58,171.5,-2.7,1.413977695,11.79724907
20-Nov,4.8,0.5,102.3,0,2.016153846,21.32692308
